"id","name","type","state","city","address","latitude","longitude","phone","email","website","prayer_times","facilities","capacity","established_year","notes"
"1","Masjid Example 1","Masjid","Selangor","Klang","Jalan Masjid Example 1","0.0000","0.0000","03-0000 1001","contact1@example.com","www.masjidexample1.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","105","1981","Generic note about this mosque."
"2","Surau Example 2","Surau","Selangor","Puchong","Jalan Surau Example 2","0.0000","0.0000","03-0000 1002","contact2@example.com","www.surauexample2.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","110","1982","Generic note about this mosque."
"3","Masjid Example 3","Masjid","Kedah","Alor Setar","Jalan Masjid Example 3","0.0000","0.0000","03-0000 1003","contact3@example.com","www.masjidexample3.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","115","1983","Generic note about this mosque."
"4","Surau Example 4","Surau","Penang","George Town","Jalan Surau Example 4","0.0000","0.0000","03-0000 1004","contact4@example.com","www.surauexample4.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","120","1984","Generic note about this mosque."
"5","Masjid Example 5","Masjid","Johor","Johor Bahru","Jalan Masjid Example 5","0.0000","0.0000","03-0000 1005","contact5@example.com","www.masjidexample5.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","125","1985","Generic note about this mosque."
"6","Surau Example 6","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 6","0.0000","0.0000","03-0000 1006","contact6@example.com","www.surauexample6.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","130","1986","Generic note about this mosque."
"7","Masjid Example 7","Masjid","Perak","Ipoh","Jalan Masjid Example 7","0.0000","0.0000","03-0000 1007","contact7@example.com","www.masjidexample7.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","135","1987","Generic note about this mosque."
"8","Surau Example 8","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 8","0.0000","0.0000","03-0000 1008","contact8@example.com","www.surauexample8.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","140","1988","Generic note about this mosque."
"9","Masjid Example 9","Masjid","Malacca","Malacca City","Jalan Masjid Example 9","0.0000","0.0000","03-0000 1009","contact9@example.com","www.masjidexample9.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","145","1989","Generic note about this mosque."
"10","Surau Example 10","Surau","Selangor","Shah Alam","Jalan Surau Example 10","0.0000","0.0000","03-0000 1010","contact10@example.com","www.surauexample10.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","150","1990","Generic note about this mosque."
"11","Masjid Example 11","Masjid","Selangor","Klang","Jalan Masjid Example 11","0.0000","0.0000","03-0000 1011","contact11@example.com","www.masjidexample11.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","155","1991","Generic note about this mosque."
"12","Surau Example 12","Surau","Selangor","Puchong","Jalan Surau Example 12","0.0000","0.0000","03-0000 1012","contact12@example.com","www.surauexample12.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","160","1992","Generic note about this mosque."
